layer,zone,path,purpose,status,hygiene_note,notes,detailed_description
docs,docs,.gitignore,ignore generated local artifacts,verify,single responsibility boundary,can hide local dumps and reports,ignores generated local artifacts and should stay in sync with dump and report filenames
docs,docs,AGENTS.md,workspace operating rules,keep,single responsibility boundary,agent instructions and repo policy,defines the working rules for agents in this repository
docs,docs,README.md,top-level operator contract,verify,single responsibility boundary,duplicates doc contract and can drift,summarizes the CLI contract and operator facing behavior for the repo
cli,cli,cmd/rmig/main.go,CLI binary entrypoint,keep,single responsibility boundary,thin wrapper over app.Run,starts the CLI and hands control to internal app runtime wiring
docs,docs,docs/ci-example.yml,CI pipeline example,keep,single responsibility boundary,reference only,shows one sample CI flow for building and validating the tool
docs,docs,docs/integration-test-plan.md,integration verification plan,verify,single responsibility boundary,keeps ops contract in sync,lists the integration checks that validate the runtime contract against SQL Server
docs,docs,docs/operational-contract.md,operational runtime contract,verify,single responsibility boundary,duplicates README and solution content,describes the runtime rules for configuration reporting and execution behavior
docs,docs,docs/runbook.md,recovery and ops runbook,keep,single responsibility boundary,operator recovery guidance,explains operator recovery steps after plan migrate validate baseline or repair failures
docs,docs,docs/solution.md,current solution narrative,verify,single responsibility boundary,mirror of runtime behavior with drift risk,documents the implemented solution and its expected runtime behavior
docs,docs,docs/specs/documentation-spec.md,documentation governance spec,keep,single responsibility boundary,doc standard source,defines how durable docs should be structured and written
docs,docs,docs/specs/nasa-document-spec.md,nasa style structure spec,keep,single responsibility boundary,document structure rules,provides the NASA style structure expected for durable technical docs
docs,docs,docs/templates/document-template.md,durable doc template,keep,single responsibility boundary,template for new specs,contains the reusable template for new durable documentation
tooling,tooling,export_code_to_txt.sh,code export helper,remove,single responsibility boundary,code centric dump can miss docs source of truth,exports source code to text but does not cover the full documentation source of truth
build,build,go.mod,go module definition,keep,single responsibility boundary,build and dependency root,declares the Go module and dependency graph for the build
build,build,go.sum,dependency checksum lock,keep,single responsibility boundary,build reproducibility,locks dependency hashes for reproducible builds
cli,cli,internal/app/app.go,command dispatch and config loading,refactor,single responsibility boundary,help text and fallback wording still carry old design terms,parses commands loads config builds runtime contexts and dispatches handlers
cli,cli,internal/app/app_test.go,CLI contract tests,verify,single responsibility boundary,test file skipped per request,verifies command parsing exit codes stderr envelopes and handler dispatch behavior
cli,cli,internal/app/command_registry.go,command registry,keep,single responsibility boundary,thin dispatch table only,lists the supported commands and connects names to handler functions
cli,config,internal/app/envfile.go,opt in env file loader,refactor,single responsibility boundary,flag and env precedence handling,loads optional env files and applies supported environment key precedence
cli,cli,internal/app/envfile_test.go,env file tests,verify,single responsibility boundary,test file skipped per request,tests env file precedence and key validation behavior
sql-write,metadata,internal/attempts/builders.go,audit attempt row builders,keep,single responsibility boundary,constructs append only audit metadata,builds metadata attempt records from execution and validation outcomes
sql-write,metadata,internal/attempts/builders_test.go,attempt builder tests,verify,single responsibility boundary,test file skipped per request,checks attempt record shaping and audit field population
contracts,contracts,internal/contracts/actions.go,planner and metadata action constants,keep,single responsibility boundary,shared action vocabulary,declares the action vocabulary used by planner metadata and reports
contracts,contracts,internal/contracts/errors.go,sentinel errors and wrapping,keep,single responsibility boundary,base error contract for classification,defines sentinel errors and error wrapping behavior used across the runtime
contracts,contracts,internal/contracts/exitcodes.go,exit code mapping,keep,single responsibility boundary,command exit contract,maps contract errors to process exit codes
contracts,contracts,internal/contracts/report.go,plan migration and validation report structs,keep,single responsibility boundary,wire format contract,declares the report payload structures written to disk and emitted by runtime code
observability,errors,internal/failures/classify.go,error classification helpers,keep,single responsibility boundary,builds operator facing failure fields,classifies errors into operator facing failure class path reason and SQL fields
observability,errors,internal/failures/failure_payload_test.go,failure payload tests,verify,single responsibility boundary,test file skipped per request,covers failure payload shape and redaction
observability,errors,internal/failures/failures.go,failure envelope builder,keep,single responsibility boundary,redacted report and log payload construction,builds redacted failure envelopes for reports and logs
observability,errors,internal/failures/failures_test.go,failure builder tests,verify,single responsibility boundary,test file skipped per request,verifies failure envelope and redaction behavior
observability,errors,internal/failures/outcome.go,failure plus exit outcome mapping,keep,single responsibility boundary,joins classification with exit code,turns classified failures into report payloads and exit codes
observability,logging,internal/logger/logger.go,redacted structured logger,keep,single responsibility boundary,stderr and JSON logging path,writes structured logs and redacts secrets before emitting them
observability,logging,internal/logger/logger_test.go,logger tests,verify,single responsibility boundary,test file skipped per request,covers logger redaction and envelope formatting
sql-write,metadata,internal/metadata/metadata.go,metadata bootstrap and audit store,refactor,single responsibility boundary,dual current and legacy paths still need lockstep review,owns bootstrap schema checks run rows item rows attempt rows and checksum queries
sql-write,metadata,internal/metadata/metadata_test.go,metadata tests,verify,single responsibility boundary,test file skipped per request,covers metadata bootstrap and checksum query behavior
state-core,metadata,internal/migrator/metadata_context.go,active and cleanup metadata contexts,refactor,single responsibility boundary,cleanup scope needs to stay narrow,creates bounded metadata contexts for active work and cleanup work
sql-write,metadata,internal/migrator/metadata_recorder.go,compose metadata recorders,keep,single responsibility boundary,binds scope repair and validation recorders,composes recorders that write scope repair and validation metadata
sql-write,metadata,internal/migrator/metadata_writer.go,low level metadata writes,refactor,single responsibility boundary,cleanup context is still used on normal writes,wraps low level metadata update and insert calls for run scope and attempts
state-core,metadata,internal/migrator/runtime_metadata.go,start and finish run metadata,refactor,single responsibility boundary,finish ordering semantics deserve ongoing review,creates the run record and finalizes run metadata in the database
state-core,metadata,internal/migrator/runtime_metadata_test.go,run metadata helper tests,verify,single responsibility boundary,test file skipped per request,covers approved plan hash behavior
state-core,metadata,internal/migrator/session.go,protected SQL session facade,keep,single responsibility boundary,run and lock management boundary,owns protected SQL session creation locking and metadata finalization helpers
state-core,metadata,internal/migrator/session_test.go,session tests,verify,single responsibility boundary,test file skipped per request,covers session context and lock failure behavior
sql-write,metadata,internal/migrator/attempt_recorder.go,record schema and object attempts,keep,single responsibility boundary,append only audit row writer,records schema and object attempts into append only metadata history
sql-write,metadata,internal/migrator/repair_recorder.go,repair checksum audit writer,keep,single responsibility boundary,append only repair attempts,writes audit rows for repair checksum success paths
sql-write,metadata,internal/migrator/scope_writer.go,persist run scope snapshots,keep,single responsibility boundary,managed scope snapshot writer,persists the managed run scope snapshot into metadata tables
sql-write,metadata,internal/migrator/scope_writer_test.go,scope writer tests,verify,single responsibility boundary,test file skipped per request,covers scope persistence behavior
sql-write,metadata,internal/migrator/validation_recorder.go,validation metadata recorder,keep,single responsibility boundary,validation audit rows and success marks,records validation failures and success marks in metadata
sql-write,metadata,internal/migrator/validation_recorder_test.go,validation recorder tests,verify,single responsibility boundary,test file skipped per request,covers validation recorder behavior
run-orchestrator,migrator,internal/migrator/constants.go,migrator constants,keep,single responsibility boundary,shared command and marker constants,stores shared migrator constants and command labels
run-orchestrator,migrator,internal/migrator/handler.go,app to runner adapter,keep,single responsibility boundary,command handler wiring only,adapts app command calls to the migrator runner methods
run-orchestrator,migrator,internal/migrator/helpers.go,shared migrator helpers,keep,single responsibility boundary,general utility functions,holds shared migrator helper functions used by multiple paths
run-orchestrator,migrator,internal/migrator/transaction_policy.go,transaction mode helpers,keep,single responsibility boundary,script versus none policy helpers,decides transaction policy behavior for migrate and related paths
state-core,migrator,internal/migrator/run_state.go,protected run finalization and failure routing,refactor,single responsibility boundary,primary flow aligned with current contract,drives protected run state transitions failure recording and success finalization
run-orchestrator,migrator,internal/migrator/runner.go,top level execution orchestration,keep,single responsibility boundary,run flow and lazy reads are aligned,coordinates plan migrate validate baseline and repair command flows
run-orchestrator,migrator,internal/migrator/execution_plan.go,resolve and persist execution plan,refactor,single responsibility boundary,extra layout and catalog passes deserve closer review,resolves the execution plan and persists scope and plan metadata
run-orchestrator,migrator,internal/migrator/baseline_repair.go,baseline and repair orchestration,keep,single responsibility boundary,repo driven create and repair flows,orchestrates baseline create adopt and repair checksum flows
run-orchestrator,migrator,internal/migrator/baseline_repair_test.go,baseline and repair tests,verify,single responsibility boundary,test file skipped per request,covers baseline and repair command behavior
run-orchestrator,migrator,internal/migrator/approved_plan_fast_path.go,approved plan verification fast path,verify,single responsibility boundary,test file skipped per request,verifies approved plans and reuses the fast path when the current plan matches
run-orchestrator,migrator,internal/migrator/approved_plan_fast_path_test.go,approved plan fast path tests,verify,single responsibility boundary,test file skipped per request,verifies the approval fast path behavior
migrator-exec,migrator,internal/migrator/executor.go,execute plan and record attempts,keep,single responsibility boundary,DDL execution path and audit writes,executes the current plan and records attempt results in metadata
migrator-exec,migrator,internal/migrator/executor_test.go,executor tests,verify,single responsibility boundary,test file skipped per request,covers executor and audit recording behavior
migrator-legacy,migrator,internal/migrator/failure_helpers.go,legacy failure shaping helpers,remove,single responsibility boundary,bypasses newer run session flow,contains older failure shaping helpers that may duplicate the newer run session path
run-orchestrator,migrator,internal/migrator/ddl_permissions.go,permission preflight,refactor,single responsibility boundary,best effort permission checks before create work,checks DDL and dependency permissions before create work
run-orchestrator,migrator,internal/migrator/ddl_permissions_test.go,permission tests,verify,single responsibility boundary,test file skipped per request,covers permission preflight behavior
run-orchestrator,migrator,internal/migrator/dependencies.go,parent and dependency checks,keep,single responsibility boundary,dependency resolution for create paths,resolves parent and dependency requirements for create operations
run-orchestrator,migrator,internal/migrator/dependencies_test.go,dependency tests,verify,single responsibility boundary,test file skipped per request,covers dependency resolution behavior
run-orchestrator,migrator,internal/migrator/transition_scaffold.go,transition scaffold generation,verify,single responsibility boundary,scaffold creation is intentionally duplicated across plan paths,generates checked in transition scaffold files for tracked table drift
run-orchestrator,migrator,internal/migrator/transition_scaffold_test.go,transition scaffold tests,verify,single responsibility boundary,test file skipped per request,covers transition scaffold generation behavior
validate-engine,migrator,internal/migrator/validation.go,validation command orchestration,keep,single responsibility boundary,affected scope validation and report flow,coordinates standalone and managed scope validation and report writes
validate-engine,migrator,internal/migrator/validation_scope.go,affected only validation layout,keep,single responsibility boundary,scope pruning for validation,filters validation layout to the affected managed object subset
validate-engine,migrator,internal/migrator/validation_scope_test.go,validation scope tests,verify,single responsibility boundary,test file skipped per request,covers affected only validation scope behavior
validate-engine,migrator,internal/migrator/runner_validation_test.go,run state and validation tests,verify,single responsibility boundary,test file skipped per request,covers run state and validation contract behavior
validate-engine,migrator,internal/migrator/runner_lazy_catalog_test.go,lazy catalog tests,verify,single responsibility boundary,test file skipped per request,covers lazy and scoped catalog reads
validate-engine,migrator,internal/migrator/sqlserver_integration_test.go,live SQL Server integration tests,verify,single responsibility boundary,test file skipped per request,end to end live SQL Server coverage
repo-contract,parser-planner,internal/catalog/catalog.go,scoped live catalog reader,refactor,single responsibility boundary,duplicate schema hydration and query plumbing make drift easy,reads live SQL Server schemas objects and columns with layout scoping
repo-contract,parser-planner,internal/catalog/layout_refs.go,normalized catalog reference helpers,keep,single responsibility boundary,layout key normalization for catalog reads,normalizes repo layout references into catalog query keys
repo-contract,parser-planner,internal/catalog/catalog_test.go,catalog scope tests,verify,single responsibility boundary,test file skipped per request,covers scoping and case handling
repo-contract,parser-planner,internal/checksum/checksum.go,checksum normalization and hashing,keep,single responsibility boundary,streaming normalized file hashes,computes normalized file hashes and checksum digests for repo SQL files
repo-contract,parser-planner,internal/checksum/checksum_test.go,checksum tests,verify,single responsibility boundary,test file skipped per request,covers checksum normalization and hashing regressions
repo-contract,parser-planner,internal/parser/go_splitter.go,Go and SQL splitter,keep,single responsibility boundary,source parsing utility,splits mixed source text into parser friendly sections
repo-contract,parser-planner,internal/parser/go_splitter_test.go,splitter tests,verify,single responsibility boundary,test file skipped per request,covers parser splitting behavior
repo-contract,parser-planner,internal/parser/layout.go,repo layout discovery and lazy script loading,keep,single responsibility boundary,high value current parser behavior,discovers repo layout and lazily loads SQL content from disk
repo-cache,parser-planner,internal/parser/layout_cache.go,file metadata cache for lazy reads,refactor,single responsibility boundary,stale content risk if file bytes change without metadata change,caches file metadata and lazy content for repo script loading
parser-legacy,parser-planner,internal/parser/layout_selection.go,resolved base selection helpers,remove,single responsibility boundary,selection logic appears duplicated elsewhere,resolves base selection and layout choice for the repo root
repo-contract,parser-planner,internal/parser/layout_test.go,layout tests,verify,single responsibility boundary,test file skipped per request,covers layout discovery behavior
repo-contract,parser-planner,internal/parser/table_parser.go,CREATE TABLE parser,refactor,single responsibility boundary,narrow shape rules can reject valid scripts with extra batches,parses create table scripts and extracts column metadata and identifiers
repo-contract,parser-planner,internal/parser/table_parser_test.go,table parser tests,verify,single responsibility boundary,test file skipped per request,covers table parser behavior
plan-engine,parser-planner,internal/planner/approved_plan.go,approved plan load and verify helpers,keep,single responsibility boundary,approval boundary logic,loads approved plan artifacts and verifies them against current plans
planner-legacy,parser-planner,internal/planner/catalog_reader.go,SQL catalog reader adapters,remove,single responsibility boundary,unscoped read path can fall back to full schema scans,adapts SQL Server catalog reads for planner consumers and layout scoped reads
plan-engine,parser-planner,internal/planner/planner.go,build migration plans,keep,single responsibility boundary,core planning logic,builds the migration plan from repo layout metadata and catalog state
plan-engine,parser-planner,internal/planner/planner_test.go,planner tests,verify,single responsibility boundary,test file skipped per request,covers planner behavior and plan contract checks
plan-engine,parser-planner,internal/planner/transaction_policy.go,planner transaction policy,keep,single responsibility boundary,planner level transaction rules,resolves planner transaction policy and rollback scope behavior
repo-contract,validation,internal/validate/scope.go,validation scope helpers,keep,single responsibility boundary,managed object selection helpers,builds the managed validation scope and resolves missing objects
validate-engine,validation,internal/validate/validate.go,live validation catalog and checks,refactor,single responsibility boundary,full catalog API still exists alongside scoped path,reads live validation catalog state and runs validation checks
validate-engine,validation,internal/validate/validate_test.go,validation tests,verify,single responsibility boundary,test file skipped per request,covers validation behavior
reporting,reports,internal/reports/write.go,atomic report pair writer,keep,single responsibility boundary,atomic write and redaction contract,writes migration and validation report pairs atomically with redaction
reporting,reports,internal/reports/report_schema_test.go,report schema and atomicity tests,verify,single responsibility boundary,test file skipped per request,covers report schema and atomic file write behavior
reporting,reports,internal/runreport/reports.go,report finalization wrappers,verify,single responsibility boundary,thin forwarding duplicates internal reports contract,wraps report finalization and outcome writing for migration and validation flows
reporting,reports,internal/runreport/reports_test.go,runreport tests,verify,single responsibility boundary,test file skipped per request,covers runreport wrapping and failure envelopes
